??醫藥病疫,16/9/2025,https://tw.news.yahoo.com/%E5%85%A8%E5%8F%B0200%E8%90%AC%E4%BA%BA%E5%9B%A0%E6%83%85%E7%B7%92%E7%96%BE%E7%97%85%E5%B0%B1%E9%86%AB-%E5%B0%88%E5%AE%B6%E6%8F%AD%E6%AA%A2%E9%A9%97%E6%8A%80%E8%A1%93-%E5%9C%96-075055600.html,全台200萬人因情緒疾病就醫 專家揭檢驗技術 (圖),,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://news.pchome.com.tw/internation/crwant/20250916/index-75798552520205316011.html,吃早餐時間與死亡風險有關！ 專家：晚1小時就有差,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/news/national/%E6%B1%9F%E5%95%9F%E8%87%A3%E7%88%B6%E8%A6%AA%E9%A9%9A%E5%82%B3%E9%80%9D%E4%B8%96-%E6%9C%AC%E4%BA%BA%E8%AD%89%E5%AF%A6%E6%9B%9D%E8%BA%AB%E5%BE%8C%E4%BA%8B%E5%AE%89%E6%8E%92-%E6%86%B6%E7%94%9F%E5%89%8D%E6%9C%80%E5%B8%B8%E8%AA%AA%E4%B8%80%E5%8F%A5%E8%A9%B1/ar-AA1IdR0h?cvid=4cd322e57b754d91be67fcda9c3eba26&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,江啟臣父親驚傳逝世！ 本人證實曝身後事安排憶生前最常說一句話,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E8%80%81%E5%85%AC%E5%85%A9%E5%91%A8%E5%89%8D%E6%89%8D%E8%B5%B0-78%E6%AD%B2%E6%AD%A6%E6%89%93%E5%A5%B3%E6%98%9F%E7%99%8C%E9%80%9D-%E6%81%A9%E6%84%9B%E5%8D%8A%E4%B8%96%E7%B4%80%E6%88%80%E6%83%85%E8%90%BD%E5%B9%95/ar-AA1HYmIO?cvid=1eba789f17f043b695c29f7968ad10fe&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,老公兩周前才走！78 歲武打女星癌逝恩愛半世紀戀情落幕,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,http://www.mnw.cn/keji/wd/3043593.html,老年人越瘦越不容易得心?血管疾病?？??庄?今日答案最新9.16,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://m.mydrivers.com/newsview/1074730.html,我?著名核物理?家徐洪杰逝世 享年70?,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.ctwant.com/amp/article/445667/,兒忘記沖馬桶！媽一看嚇壞　一家都確診罕見遺傳病 | 生活 | CTWANT,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://hk.news.yahoo.com/%E5%85%92%E7%AB%A5%E9%96%8B%E5%AD%B8-%E6%8F%90%E9%98%B2%E6%84%9F%E6%9F%93%E4%B8%8A%E5%91%BC%E5%90%B8%E9%81%93%E7%96%BE%E7%97%85-061800426.html,兒童開學 提防感染上呼吸道疾病,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E5%85%B7%E4%BF%8A%E6%9B%84%E6%B7%B1%E6%83%85%E5%AE%88%E5%A4%A7s%E5%A2%93%E5%9C%92%E6%83%B9%E6%B7%9A-%E7%8E%8B%E5%81%89%E5%BF%A0%E6%9B%9D-s%E5%AA%BD%E8%BF%91%E6%B3%81-%E5%A5%B9%E9%9C%80%E8%A6%81%E5%B9%AB%E5%8A%A9/ar-AA1JIetG?cvid=A15F94F6CA4F402D854BBB0D628DCCF1&ocid=hpmsn&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,具俊曄深情守大S墓園惹淚 王偉忠曝「S媽近況」： 她需要幫助,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://m.chinanews.com/wap/detail/cht/zw/10482435.shtml,呼吸道疾病又來襲 專家提醒嬰幼兒家庭築牢這幾道防線,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/health/other/%E5%AD%A3%E7%AF%80%E7%89%BD%E5%8B%95%E5%BF%83%E6%83%85-%E6%98%A5%E6%97%A5%E6%86%82%E9%AC%B1-%E8%BA%81%E9%AC%B1%E5%A2%9E/ar-AA1COnEE?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,季節牽動心情 春日憂鬱、 躁鬱增,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,http://www.msn.com/zh-tw/health/other/%E8%82%BA%E9%83%A8%E6%89%8D%E7%88%8620%E9%A1%86%E7%B5%90%E7%AF%80-%E5%90%B3%E6%B7%A1%E5%A6%82%E6%82%B2%E6%9B%9D90%E6%AD%B2%E9%98%BF%E5%A7%A8%E8%82%BA%E7%99%8C%E7%97%85%E9%80%9D-%E6%AF%8D%E8%A6%AA%E4%B8%89%E5%A7%8A%E5%A6%B9%E9%83%BD%E7%BD%B9%E7%99%8C%E4%BA%A1/ar-AA1LKI9B?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,肺部才爆20顆結節！吳淡如悲曝90 歲阿姨肺癌病逝母親三姊妹都罹癌亡,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E9%87%91%E9%90%98%E4%B8%BB%E6%8C%81%E7%8C%9D%E9%80%9D%E4%BA%AB%E5%A3%BD68%E6%AD%B2-5%E5%A4%A9%E5%89%8D%E6%89%8D%E5%89%9B%E5%96%AA%E6%AF%8D-%E5%90%8D%E9%86%AB%E5%BC%9F%E4%B8%80%E9%80%B1%E5%85%A7-%E7%97%9B%E5%A4%B12%E8%87%B3%E8%A6%AA/ar-AA1HFEGD?cvid=019160980e5c4e5fc94adbc07bb2ecac&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,金鐘主持猝逝享壽68歲「5天前才剛喪母」 名醫弟一週內「痛失2至親」,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://tw.news.yahoo.com/%E7%A7%8B%E5%86%AC%E5%91%BC%E5%90%B8%E9%81%93%E7%96%BE%E7%97%85%E9%AB%98%E5%B3%B0%E5%B0%87%E8%87%B3-%E9%86%AB%E7%B1%B2-%E9%AB%98%E9%A2%A8%E9%9A%AA%E6%97%8F%E7%BE%A4-3%E5%A4%A7%E7%96%AB%E8%8B%97-%E5%88%A5%E6%BC%8F%E6%89%93-030000459.html,秋冬呼吸道疾病高峰將至！ 醫籲：高風險族群「3大疫苗」別漏打,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/money/topstories/%E7%BE%8E%E5%9C%8B%E7%96%BE%E7%97%85%E6%8E%A7%E5%88%B6%E8%88%87%E9%A0%90%E9%98%B2%E4%B8%AD%E5%BF%83%E8%80%83%E6%85%AE%E5%9B%A0%E5%9F%BA%E5%AD%94%E8%82%AF%E9%9B%85%E7%86%B1%E7%96%AB%E6%83%85%E5%B0%8D%E4%B8%AD%E5%9C%8B%E7%99%BC%E5%B8%83%E6%97%85%E8%A1%8C%E5%81%A5%E5%BA%B7%E9%80%9A%E7%9F%A5/ar-AA1JBHTw?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,美國疾病控制與預防中心考慮因基孔肯雅熱疫情對中國發布旅行健康通知,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.dotdotnews.com/a/202509/16/AP68c8a23ae4b08d290536793e.html,若升溫3℃悉尼恐多450%人被熱死- 國際,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.i-cable.com/%E6%96%B0%E8%81%9E%E8%B3%87%E8%A8%8A/390090/%E8%8B%B1%E5%9C%8B%E5%89%8D%E4%B8%96%E7%95%8C%E6%8B%B3%E7%8E%8B%E5%93%88%E9%A0%93%E9%9B%A2%E4%B8%96-%E7%B5%82%E5%B9%B446%E6%AD%B2,英國前世界拳王哈頓離世 終年46歲,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E5%94%90%E7%B6%BA%E9%99%BD%E7%99%BC%E6%96%87%E6%82%BC%E5%A4%A7s-%E9%BB%9E%E5%90%8D1%E6%98%9F%E5%BA%A7-%E4%BF%9D%E9%87%8D%E8%BA%AB%E9%AB%94-%E7%B6%B2%E9%A9%9A%E5%91%BC-%E7%9C%9F%E7%9A%84%E5%A5%BD%E6%BA%96/ar-AA1yjCpC?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,唐綺陽發文悼大S！「點名1星座」保重身體 網驚呼： 真的好準,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.stheadline.com/realtime-sport/3499598/%E6%8B%B3%E6%93%8A%E8%8B%B1%E5%9C%8B%E6%8B%B3%E5%A3%87%E5%82%B3%E5%A5%87%E9%87%8C%E5%A5%87%E5%93%88%E9%A0%93%E9%80%9D%E4%B8%96-%E6%9B%BE%E5%A5%AA%E5%85%A9%E7%B4%9A%E5%88%A5%E4%B8%96%E7%95%8C%E5%86%A0%E8%BB%8D%E6%9B%BC%E5%B8%82%E6%89%93%E6%AF%94%E9%BB%98%E5%93%80%E4%B8%80%E5%88%86%E9%90%98,拳擊｜英國拳壇傳奇里奇·哈頓逝世 曾奪兩級別世界冠軍曼市打比默哀一分鐘,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://money.udn.com/money/story/5618/9006447?from=edn_related_storybottom,氣溫高添心血管疾病風險 AIA 友邦人壽「鑫柑保倍」補缺口,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/health/topic/%E5%81%A5%E6%AA%A2%E6%B2%92%E7%B4%85%E5%AD%97-%E5%81%A5%E5%BA%B7-%E9%86%AB%E6%9B%9D-5%E5%A4%A7%E8%AD%A6%E8%A8%8A-%E5%88%A5%E8%BC%95%E5%BF%BD-%E5%B7%B2%E7%B6%93%E7%94%9F%E7%97%85%E4%BA%86/ar-AA1Myt2C?cvid=A520797B82E9428B917FF8F501D763C3&ocid=hpmsn,健檢沒紅字≠健康 醫曝「5大警訊」別輕忽： 已經生病了,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/news/world/%E5%8F%83%E8%A7%80%E6%B3%B0%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E4%BA%82%E6%8E%A1%E9%87%8E%E6%9E%9C%E5%90%83-7%E4%BD%8D%E6%88%B0%E9%AC%A5%E6%B0%91%E6%97%8F%E9%81%8A%E5%AE%A2-%E5%8F%A3%E5%90%90%E7%99%BD%E6%B2%AB-%E9%80%81%E9%86%AB/ar-AA1Ef8WC?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,參觀泰國家公園亂採野果吃 7位戰鬥民族遊客「口吐白沫」 送醫,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://news.pts.org.tw/article/770650,國人僅3成五有規律運動習慣 當心「靜態生活死亡症候群」 ｜ 公視新聞網 PNN,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://inews.setn.com/news/1720307,婁峻碩震撼粉絲車禍逝世！拿遺照到現場合影　哽咽一句話暖哭全場,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E5%BC%B5%E5%8F%8B%E9%A9%8A%E9%9B%A2%E4%B8%96-%E8%85%A6%E9%83%A8%E6%9C%89%E7%97%85%E8%AE%8A-%E5%A4%AA%E5%A4%AA%E5%BF%8D%E7%97%9B%E6%8B%94%E7%B6%AD%E6%8C%81%E5%99%A8-%E5%91%8A%E5%88%A5%E5%BC%8F%E6%99%82%E9%96%93%E5%87%BA%E4%BE%86%E4%BA%86/ar-AA1s6f51?cvid=C13D03DC26C94A23BA8D9C925CB261C6&ocid=spartanntp&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,張友驊離世「腦部有病變」 太太忍痛拔維持器告別式時間出來了,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/health/topic/%E6%99%9A%E4%B8%8A%E6%88%B6%E5%A4%96%E9%81%8B%E5%8B%95-%E6%85%A2%E6%80%A7%E8%87%AA%E6%AE%BA-%E5%B0%88%E5%AE%B6%E8%AD%A6%E5%91%8A-%E7%8B%82%E5%90%B8%E9%AB%92%E7%A9%BA%E6%B0%A3%E6%81%90%E8%82%BA%E7%99%8C/ar-AA1M3KVW?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,晚上戶外運動=慢性自殺 專家警告： 狂吸髒空氣恐肺癌,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.ohpama.com/972160/%E7%94%9F%E6%B4%BB%E7%86%B1%E8%A9%B1/%E7%94%9F%E6%B4%BB%E7%86%B1%E8%A9%B1/%E7%9B%9B%E5%93%81%E5%84%92-%E9%81%BA%E5%AD%80%E8%94%A1%E4%B8%80%E9%B3%B3%E7%94%9F%E6%B4%BB%E9%81%87%E5%9B%B0%E9%9B%A3-%E5%AD%90%E5%A5%B3%E8%A2%AB%E5%B7%B2%E9%9B%A2%E8%81%B7%E7%94%B7%E5%A4%96%E5%82%AD/,盛品儒 | 離世未滿月遺孀蔡一鳳生活遇困難子女被已離職男外傭騷擾：引起恐慌| 生活熱話,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.ebiotrade.com/newsf/2025-9/20250916001207549.htm,?述：神?退行性疾病中的微生物群-?-??：分子机制与治?靶?,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/news/opinion/%E8%A8%B1%E5%AE%B6%E8%93%93%E7%BD%B9%E7%99%8C%E8%BE%AD%E4%B8%96-%E7%B6%A0%E8%AD%B0%E6%9C%83%E9%BB%A8%E5%9C%98-%E5%8D%94%E5%8A%A9%E6%B2%BB%E5%96%AA%E4%BA%8B%E5%AE%9C/ar-AA1qK26i?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,許家蓓罹癌辭世 綠議會黨團： 協助治喪事宜,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/news/national/%E9%AD%9A%E5%A4%AB%E5%92%8C%E6%96%BD%E6%98%8E%E5%BE%B7%E5%90%8C%E4%B8%80%E5%B9%B4%E8%BE%AD%E4%B8%96-%E6%B8%B8%E7%9B%88%E9%9A%86-%E7%88%B6%E5%AD%90-%E5%9C%A8%E5%A4%A9%E4%B8%8A%E9%87%8D%E9%80%A2/ar-AA1wMVVb?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,魚夫和施明德同一年辭世 游盈隆：「父子」 在天上重逢,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.mk.co.kr/cn/hot-issues/11420041,??安娜于去年9月15日去世，享年28?。 故人的死亡消息直到三?月后的12月才被??。,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/news/other/%E5%AF%8C%E5%95%86%E6%9B%96%E6%98%A7%E5%89%8D%E4%B8%BB%E6%92%AD-%E6%84%9B%E7%8A%AC%E9%80%81%E8%B2%B4%E6%97%8F%E5%AD%B8%E6%A0%A1%E7%8C%9D%E6%AD%BB-%E6%84%8F%E5%A4%96%E6%8F%AD%E4%BB%A3%E9%8A%B7%E5%A4%A9%E7%8E%8B-%E5%89%8D%E4%B8%BB%E6%92%AD%E6%9B%96%E6%98%A7%E6%83%85/ar-AA1Mxq2b,富商曖昧前主播／愛犬送貴族學校猝死 意外揭代銷天王、 前主播曖昧情,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://more-news.tw/390973/,發炎性腸道疾病患者年輕化 中醫大附醫「腸道超音波」免清腸、無痛追蹤更精準,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.donews.com/news/detail/8/6116076.html,著名核物理?家徐洪杰在?逝世，享年70?,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/news/national/%E6%8E%A5%E6%8E%8C%E7%AB%B9%E8%81%AF%E5%B9%AB%E5%B8%9D%E5%9C%8B-%E9%BB%83%E5%B0%91%E5%B2%91%E7%97%85%E9%80%9D-%E6%89%A3%E9%A0%AD-%E5%8A%89%E6%8C%AF%E5%8D%97%E9%A6%96%E5%BA%A6%E7%8F%BE%E8%BA%AB-%E4%B8%80%E8%BA%AB%E9%BB%91%E8%A1%A3%E8%88%87%E8%AD%A6%E5%91%A8%E6%97%8B/ar-AA1yrN3v?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,黃少岑病逝 竹聯幫準接班人「扣頭」 劉振南首度現身,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.nownews.com/news/6731375,新竹獨居老人離世！家中「2狗8貓活活被餓死」　結局奇蹟發生了,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E8%B3%87%E6%B7%B1%E8%97%9D%E4%BA%BA%E6%9D%8E%E5%B0%8F%E9%A3%9B%E8%82%9D%E7%99%8C%E7%97%85%E9%80%9D-%E7%94%9F%E5%89%8D%E9%9A%B1%E5%A9%9A10%E5%B9%B4-%E8%80%81%E5%A9%86%E8%AE%8A%E5%B0%8F%E5%A7%A8%E5%AD%90-%E9%A9%9A%E4%BA%BA%E5%85%A7%E5%B9%95%E6%9B%9D/ar-AA1HAq1X?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,資深藝人李小飛肝癌病逝！生前隱婚10年「老婆變小姨子」 驚人內幕曝,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/health/other/%E6%AD%8C%E6%89%8B%E6%96%B9%E5%A4%A7%E5%90%8C%E9%9B%A2%E4%B8%96-%E9%86%AB%E7%94%9F-7%E9%A1%9E%E4%BA%BA%E6%B3%A8%E6%84%8F%E6%B0%A3%E8%83%B8%E7%97%87%E7%8B%80/ar-AA1A1KyR?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,歌手方大同離世 醫生：7 類人注意氣胸症狀,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.stheadline.com/world-topics/3499652/%E8%AA%A4%E8%A8%BA%E8%87%B4%E6%AD%BB%E8%87%89%E4%B8%8A%E8%85%AB%E5%A1%8A%E9%86%AB%E7%94%9F%E8%AA%A4%E5%88%A4%E4%BE%86%E8%87%AA%E5%AE%B6%E6%9A%B4-%E8%8B%B1%E5%9C%8B%E5%B0%8F%E5%A5%B3%E5%AD%A9%E7%99%8C%E9%80%9D%E6%AF%8D%E6%8E%A7NHS%E7%96%8F%E5%BF%BD,誤診致死？｜臉上腫塊醫生誤判「來自家暴」 英國小女孩癌逝母控NHS疏忽,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E5%8A%89%E5%AE%B6%E6%98%8C%E9%A9%9A%E5%82%B3%E7%97%85%E9%80%9D-%E7%94%9F%E5%89%8D%E6%9C%80%E5%BE%8C%E8%BA%AB%E5%BD%B1-%E6%9B%9D-%E9%AB%98%E5%96%8A-%E5%B8%8C%E6%9C%9B%E5%A4%A7%E5%AE%B6%E5%86%8D%E5%94%B1-%E6%88%91%E6%98%AF%E4%B8%AD%E5%9C%8B%E4%BA%BA/ar-AA1vbiOe?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,劉家昌驚傳病逝「生前最後身影」曝！高喊：希望大家再唱《我是中國人》,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,http://www.msn.com/zh-tw/entertainment/news/%E6%91%AF%E6%84%9B%E6%8E%A5%E9%80%A3%E9%9B%A2%E4%B8%96-%E8%AD%89%E5%AF%A6%E8%81%BD%E5%8A%9B%E5%96%AA%E5%A4%B1-ost%E5%A5%B3%E7%8E%8B-%E6%9A%8C%E9%81%95%E8%BF%91%E5%8D%81%E5%B9%B4%E7%B5%82%E6%96%BC%E5%86%8D%E5%BA%A6%E5%9B%9E%E6%AD%B8/ar-AA1MnRIT?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,摯愛接連離世、證實聽力喪失 「OST女王」 暌違近十年終於再度回歸,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E8%AB%87%E8%A9%A9%E7%8E%B2%E6%82%B2%E6%85%9F%E6%91%AF%E6%84%9B%E9%80%9D%E4%B8%96-%E5%91%8A%E5%88%A5%E5%BC%8F%E6%B7%9A%E5%B4%A9%E5%B9%AB%E8%93%8B%E5%BE%80%E7%94%9F%E8%A2%AB-%E9%80%A32%E5%A4%A9%E4%BB%A5%E6%B7%9A%E6%B4%97%E9%9D%A2/ar-AA1ryQ6s?ocid=hpmsn&cvid=56bba7158652498b96d4ce026b233e7f&ei=30&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,談詩玲悲慟摯愛逝世！告別式淚崩幫蓋往生被 連2 天以淚洗面,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://points-media.com/%E6%9C%80%E6%96%B0/%E9%A6%99%E6%B8%AF-%E8%8B%B1%E5%9C%8B-%E9%BB%8E%E5%B4%87%E6%81%A9-%E9%BB%8E%E6%99%BA%E8%8B%B1-%E6%96%BD%E7%B4%80%E8%B3%A2-%E7%9B%A3%E7%8D%84-%E6%8B%96%E5%BB%B6%E6%B2%BB%E7%99%82-%E7%B3%96%E5%B0%BF/,黎智英案| 黎崇恩呼籲施紀賢響應呼籲共同爭放黎智英國際律師團隊：港監獄系統性拖延治療糖尿病或令黎智英存死亡風險,,,,,,,,,,,,,,
??醫藥病疫,16/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E7%8D%A8%E5%AE%B6-%E5%A4%A7%E5%92%96%E7%B6%B2%E7%B4%85%E6%91%AF%E6%84%9B%E7%8C%9D%E9%80%9D-%E6%82%B2%E6%85%9F%E6%B4%BB%E4%B8%8D%E9%81%8E1%E6%AD%B2-%E9%AB%98%E7%87%92%E5%8F%A3%E5%90%90%E7%99%BD%E6%B2%AB%E5%B0%B1%E8%B5%B0%E4%BA%86/ar-AA1MxiEK,獨家／大咖網紅摯愛猝逝！悲慟活不過1 歲高燒口吐白沫就走了,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E4%BD%90%E8%B3%80%E7%9A%84%E8%B6%85%E7%B4%9A%E9%98%BF%E5%AC%A4-%E5%9C%8B%E6%B0%91%E5%A5%B3%E6%98%9F%E7%97%85%E9%80%9D-10%E5%A4%A9%E5%89%8D%E4%BB%8D%E8%8B%A6%E6%92%90%E5%B7%A5%E4%BD%9C-%E6%83%B9%E7%B6%B2%E9%BC%BB%E9%85%B8/ar-AA1MeDoA?cvid=EFD8DC090CBC4E32AB684371FFB2D64D&ocid=hpmsn&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,《佐賀的超級阿嬤》國民女星病逝！「10天前仍苦撐工作」 惹網鼻酸,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://www.msn.com/zh-tw/news/other/%E7%AC%91%E5%82%B2%E6%B1%9F%E6%B9%96-%E4%BB%A4%E7%8B%90%E6%B2%96%E9%80%B2%E5%8A%A0%E8%AD%B7%E7%97%85%E6%88%BF-%E6%98%8F%E8%BF%B7%E5%91%BD%E5%8D%B1%E6%9A%B4%E7%98%A618%E5%85%AC%E6%96%A4-%E6%9C%80%E6%96%B0%E7%8B%80%E6%B3%81%E6%9B%9D/ar-AA1L7vTQ?cvid=57887674EE324CD085DB2F410D34B252&ocid=mailsignout&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,《笑傲江湖》令狐沖進加護病房！昏迷命危暴瘦18 公斤最新狀況曝,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://www.msn.com/zh-tw/entertainment/news/%E5%A0%B1%E5%91%8A%E7%8F%AD%E9%95%B7-%E7%94%B7%E6%98%9F%E7%97%85%E9%80%9D%E5%8C%97%E4%BA%AC-%E5%BE%8C%E4%BA%8B%E9%A9%9A%E7%88%86%E5%8D%A1%E9%97%9C-%E8%A6%AA%E5%A7%8A%E8%AD%89%E5%AF%A6%E6%8F%AD-%E8%BE%9B%E9%85%B8%E5%85%A7%E5%B9%95/ar-AA1zolKX?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,《報告班長》男星病逝北京！後事驚爆卡關 親姊證實揭「辛酸內幕」,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://tw.news.yahoo.com/%E5%A2%93%E4%BB%94%E5%9F%94%E4%B9%9F%E6%95%A2%E5%8E%BB-%E5%8E%9F%E5%94%B1%E9%A9%9F%E9%80%9D-%E5%A4%B1%E6%99%BA%E7%97%873%E5%80%8B%E8%87%B4%E5%91%BD%E5%8D%B1%E6%A9%9F-%E4%B8%8D%E6%B4%97%E6%BE%A1%E6%98%AF%E8%AD%A6%E8%A8%8A-000000986.html,《墓仔埔也敢去》原唱驟逝！失智症3個致命危機 不洗澡是警訊,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://www.msn.com/zh-tw/health/other/%E7%9C%8B6%E7%A7%91-%E6%9F%A5%E4%B8%8D%E5%87%BA%E7%97%85%E5%9B%A0-%E5%A5%B9%E7%9C%A9%E6%9A%88-4%E5%BA%A6%E6%80%A5%E8%A8%BA-%E6%89%B6%E7%89%86%E6%89%8D%E8%83%BD%E9%80%B2%E8%A8%BA%E9%96%93-%E4%B8%AD%E9%86%AB5%E6%8B%9B%E5%8F%8D%E8%BD%89/ar-AA1LZpak?cvid=F28E817115E74C72BDC1D79C9A6D7D3D&ocid=windirect&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,「看6科」查不出病因！她眩暈「4度急診」扶牆才能進診間 中醫5 招反轉,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://fuhouse.setn.com/news/1721358,1996台海危機開啟台美高層對話！前外長、前資政丁懋時病逝　享耆壽99歲,,,,,,,,,,,,,,
??醫藥病疫,17/9/2025,https://tw.news.yahoo.com/40%E5%B9%B4%E8%80%81%E8%97%A5%E6%81%90%E8%AE%93%E5%A5%B3%E6%80%A7%E5%BF%83%E8%87%9F%E7%97%85%E7%99%BC-%E7%A0%94%E7%A9%B6-%E6%AD%BB%E4%BA%A1%E9%A2%A8%E9%9A%AA%E5%A2%9E3%E5%80%8D-055114991.html,40年老藥恐讓女性心臟病發？研究：死亡風險增3倍,,,,,,,,,,,,,,
